Scrip,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
NIL,28/04/2025,735.75,-0.82,748.9,735,742,"4,132","30,52,049.20"
NIL,27/04/2025,741.8,-0.96,751.1,741,750,"6,406","47,77,011.10"
NIL,24/04/2025,748.98,0.88,768,743,757.3,"13,078","97,87,998.10"
NIL,23/04/2025,742.46,-1.3,750,739,750,"3,380","25,11,342.00"
NIL,22/04/2025,752.22,-1.34,764,750,753,"4,476","33,69,564.80"
NIL,21/04/2025,762.41,-0.04,764,751,751.1,"10,255","77,81,007.10"
NIL,20/04/2025,762.69,-0.17,767.6,760,760,"16,798","1,28,23,602.70"
NIL,17/04/2025,764,0.65,770,754.7,770,"7,867","60,01,477.90"
NIL,16/04/2025,759.03,0.51,768,754,768,"4,315","32,66,459.00"
NIL,15/04/2025,755.17,0.59,756,750,755,"3,238","24,42,319.00"
NIL,13/04/2025,750.76,0.88,757,742,757,"4,408","33,05,564.00"
NIL,10/04/2025,744.2,0.42,751,742,742,"4,690","35,00,307.60"
NIL,09/04/2025,741.06,0.06,749.9,737,737,"3,119","23,20,369.00"
NIL,08/04/2025,740.65,-0.77,747,735,747,"5,266","38,81,593.10"
NIL,07/04/2025,746.39,-0.7,766,744.8,766,"7,103","52,95,883.20"
NIL,03/04/2025,751.63,-0.33,772,747.1,769,"7,422","55,89,553.60"
NIL,02/04/2025,754.13,0.88,759.8,742,742,"5,122","38,61,487.80"
